#,category,chars,approx,glm_real,glm_err,glm_pct,dsv_real,dsv_err,dsv_pct,kimi_real,kimi_err,kimi_pct,mmax_real,mmax_err,mmax_pct
135,code_py,1038,260,363,-103,-28.37,369,-109,-29.54,360,-100,-27.78,420,-160,-38.1
136,code_js,562,140,138,2,1.45,140,0,0.0,138,2,1.45,172,-32,-18.6
137,numeric,48,12,32,-20,-62.5,23,-11,-47.83,23,-11,-47.83,25,-13,-52.0
138,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
139,code_py,664,166,158,8,5.06,178,-12,-6.74,164,2,1.22,206,-40,-19.42
140,chat_en,85,21,20,1,5.0,20,1,5.0,19,2,10.53,20,1,5.0
141,mixed,253,63,42,21,50.0,40,23,57.5,42,21,50.0,40,23,57.5
142,code_py,341,85,76,9,11.84,79,6,7.59,76,9,11.84,100,-15,-15.0
143,numeric,83,21,23,-2,-8.7,24,-3,-12.5,23,-2,-8.7,23,-2,-8.7
144,chat_zh,24,24,13,11,84.62,12,12,100.0,12,12,100.0,12,12,100.0
145,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
146,numeric,69,17,48,-31,-64.58,45,-28,-62.22,45,-28,-62.22,45,-28,-62.22
147,chat_en,181,45,45,0,0.0,48,-3,-6.25,43,2,4.65,46,-1,-2.17
148,pure_english,127,32,21,11,52.38,21,11,52.38,21,11,52.38,21,11,52.38
149,numeric,123,31,90,-59,-65.56,78,-47,-60.26,87,-56,-64.37,91,-60,-65.93
150,mixed,371,93,62,31,50.0,60,33,55.0,61,32,52.46,61,32,52.46
151,chat_zh,59,59,29,30,103.45,27,32,118.52,27,32,118.52,27,32,118.52
152,chat_zh,24,24,12,12,100.0,12,12,100.0,11,13,118.18,12,12,100.0
153,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
154,code_js,334,84,86,-2,-2.33,89,-5,-5.62,89,-5,-5.62,104,-20,-19.23
155,mixed,208,105,57,48,84.21,56,49,87.5,56,49,87.5,57,48,84.21
156,chat_zh,53,53,32,21,65.62,32,21,65.62,30,23,76.67,32,21,65.62
157,code_py,396,99,114,-15,-13.16,116,-17,-14.66,118,-19,-16.1,134,-35,-26.12
158,chat_zh,30,30,19,11,57.89,19,11,57.89,17,13,76.47,19,11,57.89
159,pure_chinese,75,74,37,37,100.0,37,37,100.0,35,39,111.43,37,37,100.0
160,pure_english,241,60,39,21,53.85,39,21,53.85,39,21,53.85,40,20,50.0
161,code_py,849,212,270,-58,-21.48,279,-67,-24.01,270,-58,-21.48,318,-106,-33.33
162,code_py,1023,256,228,28,12.28,237,19,8.02,228,28,12.28,300,-44,-14.67
163,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
164,chat_en,159,40,40,0,0.0,41,-1,-2.44,41,-1,-2.44,41,-1,-2.44
165,pure_english,126,32,21,11,52.38,20,12,60.0,21,11,52.38,20,12,60.0
166,code_js,281,70,69,1,1.45,70,0,0.0,69,1,1.45,86,-16,-18.6
167,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
168,chat_zh,24,24,13,11,84.62,13,11,84.62,12,12,100.0,13,11,84.62
169,numeric,72,18,48,-30,-62.5,43,-25,-58.14,43,-25,-58.14,43,-25,-58.14
170,mixed,439,140,80,60,75.0,78,62,79.49,77,63,81.82,78,62,79.49
171,chat_en,245,61,59,2,3.39,59,2,3.39,58,3,5.17,61,0,0.0
172,chat_zh,41,41,23,18,78.26,23,18,78.26,21,20,95.24,23,18,78.26
173,mixed,108,106,61,45,73.77,60,46,76.67,53,53,100.0,62,44,70.97
174,chat_zh,54,54,36,18,50.0,36,18,50.0,32,22,68.75,35,19,54.29
175,code_js,403,102,136,-34,-25.0,138,-36,-26.09,135,-33,-24.44,158,-56,-35.44
176,pure_english,257,64,40,24,60.0,40,24,60.0,40,24,60.0,42,22,52.38
177,numeric,148,37,94,-57,-60.64,92,-55,-59.78,94,-57,-60.64,88,-51,-57.95
178,pure_english,260,65,39,26,66.67,38,27,71.05,38,27,71.05,38,27,71.05
179,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
180,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
181,pure_english,341,85,55,30,54.55,51,34,66.67,53,32,60.38,50,35,70.0
182,numeric,96,24,64,-40,-62.5,45,-21,-46.67,45,-21,-46.67,49,-25,-51.02
183,numeric,144,36,96,-60,-62.5,86,-50,-58.14,86,-50,-58.14,86,-50,-58.14
184,code_js,403,102,136,-34,-25.0,138,-36,-26.09,135,-33,-24.44,158,-56,-35.44
185,pure_chinese,39,39,20,19,95.0,20,19,95.0,20,19,95.0,21,18,85.71
186,mixed,212,116,65,51,78.46,65,51,78.46,61,55,90.16,65,51,78.46
187,chat_zh,24,24,13,11,84.62,12,12,100.0,12,12,100.0,12,12,100.0
188,pure_english,330,82,51,31,60.78,49,33,67.35,50,32,64.0,49,33,67.35
189,code_js,334,84,86,-2,-2.33,89,-5,-5.62,89,-5,-5.62,104,-20,-19.23
190,chat_zh,44,44,28,16,57.14,26,18,69.23,24,20,83.33,26,18,69.23
191,code_py,341,85,76,9,11.84,79,6,7.59,76,9,11.84,100,-15,-15.0
192,code_py,849,212,270,-58,-21.48,279,-67,-24.01,270,-58,-21.48,318,-106,-33.33
193,pure_chinese,33,33,17,16,94.12,16,17,106.25,15,18,120.0,17,16,94.12
194,pure_english,134,34,27,7,25.93,26,8,30.77,26,8,30.77,25,9,36.0
195,mixed,168,67,45,22,48.89,43,24,55.81,42,25,59.52,43,24,55.81
196,code_py,682,170,152,18,11.84,158,12,7.59,152,18,11.84,200,-30,-15.0
197,chat_en,149,37,34,3,8.82,35,2,5.71,33,4,12.12,35,2,5.71
198,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
199,pure_english,416,104,67,37,55.22,66,38,57.58,66,38,57.58,67,37,55.22
200,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
201,chat_zh,60,60,35,25,71.43,33,27,81.82,33,27,81.82,35,25,71.43
202,pure_english,157,39,23,16,69.57,23,16,69.57,23,16,69.57,23,16,69.57
203,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
204,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
205,chat_en,187,47,45,2,4.44,45,2,4.44,44,3,6.82,45,2,4.44
206,code_py,1023,256,228,28,12.28,237,19,8.02,228,28,12.28,300,-44,-14.67
